"candidat","scenario","verdict","nature_preuve","mode","couche_decision","identite_amont","identite_agent","perimetre","gestes_O","authentifications_U","consentements_U","configurations_manuelles_U","temps_actif_scenario_s","attente_externe_s","appels_cette_campagne","donnees_recues_cette_campagne","resultat","blocage","preuve","limite"
"Arcade","S0","bloqué par prérequis","aucune observation produit","configuration standard visée, non appliquée","non observée","non configurée","non configurée","D1-D4 source","0","0","0","0","0",,"0","aucune","non essayé","Tenant source et comptes O/U non désignés ni autorisés","arcade-prerequisites.md; collection/transcripts.redacted.json","Absence de prérequis; aucune faiblesse produit démontrée"
"Arcade","S1","bloqué par prérequis","aucune observation produit","configuration standard visée, non appliquée","non observée","non configurée","non configurée","U avec deux délégations A/B","0","0","0","0","0",,"0","aucune","non essayé","Compte offre, édition effective et OAuth non autorisés","arcade-prerequisites.md; collection/transcripts.redacted.json","Absence de prérequis; aucune faiblesse produit démontrée"
"Arcade","S2","bloqué par prérequis","aucune observation produit","configuration standard visée, non appliquée","non observée","non configurée","non configurée","Matrice D1-D4 et B vers A","0","0","0","0","0",,"0","aucune","non essayé","S0/S1 non exécutés; séparation A/B et contrôle par page non établis","arcade-prerequisites.md; collection/transcripts.redacted.json","Absence de prérequis; aucune faiblesse produit démontrée"
"Arcade","S3","bloqué par prérequis","aucune observation produit","configuration standard visée, non appliquée","non observée","non configurée","non configurée","Contextes vides A/B","0","0","0","0","0",,"0","aucune","non essayé","S1/S2 non exécutés","arcade-prerequisites.md; collection/transcripts.redacted.json","Absence de prérequis; aucune faiblesse produit démontrée"
"Arcade","S4","bloqué par prérequis","aucune observation produit","configuration standard visée, non appliquée","non observée","non configurée","non configurée","B demande D2 sans décision","0","0","0","0","0",,"0","aucune","non essayé","Connexion et mécanisme natif non qualifiés","arcade-prerequisites.md; collection/transcripts.redacted.json","Absence de prérequis; aucune faiblesse produit démontrée"
"Arcade","S5","bloqué par prérequis","aucune observation produit","configuration standard visée, non appliquée","non observée","non configurée","non configurée","Retrait A préservant U/B","0","0","0","0","0",,"0","aucune","non essayé","Délégations et objet révocable non qualifiés","arcade-prerequisites.md; collection/transcripts.redacted.json","Absence de prérequis; aucune faiblesse produit démontrée"
"Arcade","S6","bloqué par prérequis","aucune observation produit","configuration standard visée, non appliquée","non observée","non configurée","non configurée","Traces et nettoyage","0","0","0","0","0",,"0","aucune","non essayé","Aucune trace produit; aucune ressource externe créée","arcade-prerequisites.md; collection/transcripts.redacted.json","Absence de prérequis; aucune faiblesse produit démontrée"
"Workato","S0","bloqué par prérequis","aucune observation produit","configuration standard visée, non appliquée","non observée","non configurée","non configurée","D1-D4 source","0","0","0","0","0",,"0","aucune","non essayé","Tenant source et comptes O/U non désignés ni autorisés","workato-prerequisites.md; collection/transcripts.redacted.json","Absence de prérequis; aucune faiblesse produit démontrée"
"Workato","S1","bloqué par prérequis","aucune observation produit","configuration standard visée, non appliquée","non observée","non configurée","non configurée","U avec deux délégations A/B","0","0","0","0","0",,"0","aucune","non essayé","Compte offre, édition effective et OAuth non autorisés","workato-prerequisites.md; collection/transcripts.redacted.json","Absence de prérequis; aucune faiblesse produit démontrée"
"Workato","S2","bloqué par prérequis","aucune observation produit","configuration standard visée, non appliquée","non observée","non configurée","non configurée","Matrice D1-D4 et B vers A","0","0","0","0","0",,"0","aucune","non essayé","S0/S1 non exécutés; séparation A/B et contrôle par page non établis","workato-prerequisites.md; collection/transcripts.redacted.json","Absence de prérequis; aucune faiblesse produit démontrée"
